,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,month,year,m2
1845359,2020-780516,2020-07-30,1,Vente,166000.0,60.0,P,RUE DU MOULIN A VENT,0105,77700.0,77268,Magny-le-Hongre,77,,,77268000AB0308,,,74,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.809717,48.867114,7,2020,
1845389,2020-780531,2020-07-16,1,Vente,290000.0,8.0,,RUE DE VIENNE,0530,77144.0,77307,Montévrain,77,,,77307000ZA0249,,,118,,,,,,,,,,1,2.0,Appartement,46.0,2.0,,,,,,2.760611,48.856017,7,2020,6304.347826086957
1845390,2020-780531,2020-07-16,1,Vente,290000.0,6.0,,RUE DE VIENNE,0530,77144.0,77307,Montévrain,77,,,77307000ZA0249,,,326,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.760611,48.856017,7,2020,
1845509,2020-780588,2020-07-30,1,Vente en l'état futur d'achèvement,15000.0,,,LE BOIS DE PARIS,B004,77700.0,77111,Chessy,77,,,77111000AL0233,,,114,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.772253,48.8594,7,2020,
1845549,2020-780609,2020-07-31,1,Vente,388000.0,20.0,P,RUE DES GRANDS PRES,0289,77700.0,77111,Chessy,77,,,77111000AL0139,,,1302,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.775748,48.857991,7,2020,
1845550,2020-780609,2020-07-31,1,Vente,388000.0,20.0,,RUE DES GRANDS PRES,0289,77700.0,77111,Chessy,77,,,77111000AL0139,,,1141,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.775748,48.857991,7,2020,
1845551,2020-780609,2020-07-31,1,Vente,388000.0,20.0,,RUE DES GRANDS PRES,0289,77700.0,77111,Chessy,77,,,77111000AL0139,,,1008,82.38,,,,,,,,,1,2.0,Appartement,79.0,3.0,,,,,,2.775748,48.857991,7,2020,4911.392405063291
1845552,2020-780609,2020-07-31,1,Vente,388000.0,20.0,P,RUE DES GRANDS PRES,0289,77700.0,77111,Chessy,77,,,77111000AL0139,,,1303,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.775748,48.857991,7,2020,
1845608,2020-780634,2020-07-30,1,Vente,186151.88,12.0,,AV DE LA SOCIETE DES NATIONS,0483,77144.0,77307,Montévrain,77,,,773070000C1490,,,2125,,403,,,,,,,,2,4.0,Local industriel. commercial ou assimilé,87.0,0.0,,,,,,2.757879,48.866228,7,2020,2139.6767816091956
1845672,2020-780674,2020-07-24,1,Vente,185000.0,1.0,,RUE DU COCHET,0037,77700.0,77018,Bailly-Romainvilliers,77,,,77018000AN0112,,,713,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.827852,48.854494,7,2020,
1845673,2020-780674,2020-07-24,1,Vente,185000.0,1.0,,RUE DU COCHET,0037,77700.0,77018,Bailly-Romainvilliers,77,,,77018000AN0112,,,21,54.95,,,,,,,,,1,2.0,Appartement,54.0,3.0,,,,,,2.827852,48.854494,7,2020,3425.925925925926
1845699,2020-780690,2020-07-28,1,Vente,220000.0,11.0,,CRS DU DANUBE,0057,77700.0,77449,Serris,77,,,77449000AC0105,,,1120,43.16,,,,,,,,,1,2.0,Appartement,43.0,2.0,,,,,,2.775601,48.855965,7,2020,5116.279069767442
1845700,2020-780690,2020-07-28,1,Vente,220000.0,13.0,,CRS DU DANUBE,0057,77700.0,77449,Serris,77,,,77449000AC0105,,,1254,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.775601,48.855965,7,2020,
