,id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_nom_voie,code_commune,nom_commune,nombre_lots,type_local,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,month,year,m2
2707206,2019-1131060,2019-05-16,Vente,207000.0,RUE DE COPENHAGUE,77307,Montévrain,1,Appartement,41.0,2.0,2.763732,48.858075,5,2019,5048.780487804878
2707211,2019-1131063,2019-05-27,Vente,92000.0,RUE D AMSTERDAM,77307,Montévrain,1,Appartement,21.0,1.0,2.76756,48.853979,5,2019,4380.952380952381
2707222,2019-1131070,2019-05-14,Vente,244000.0,AV DES FRENES,77307,Montévrain,2,Appartement,61.0,3.0,2.761009,48.871225,5,2019,4000.0
2707265,2019-1131088,2019-05-28,Vente,180000.0,CHE DES VERGERS,77111,Chessy,1,Appartement,54.0,3.0,2.765459,48.87795,5,2019,3333.3333333333335
2707312,2019-1131100,2019-05-31,Vente,146340.0,RUE DES FRICHES,77018,Bailly-Romainvilliers,1,Appartement,63.0,3.0,2.819909,48.847996,5,2019,2322.8571428571427
2707328,2019-1131109,2019-05-09,Vente,180000.0,CRS DU TAGE,77449,Serris,1,Appartement,49.0,2.0,2.786913,48.854067,5,2019,3673.469387755102
2707349,2019-1131124,2019-05-31,Vente,307000.0,CHE DE LA MARRE TORTILLE,77111,Chessy,1,Appartement,76.0,4.0,2.773509,48.878871,5,2019,4039.4736842105262
2707367,2019-1131129,2019-05-09,Vente,88000.0,RUE D AMSTERDAM,77307,Montévrain,1,Appartement,22.0,1.0,2.76756,48.853979,5,2019,4000.0
2707475,2019-1131189,2019-05-23,Vente,225000.0,RUE DE LA FONTAINE,77449,Serris,1,Appartement,49.0,2.0,2.795732,48.844443,5,2019,4591.836734693878
2707574,2019-1131245,2019-05-27,Vente,200000.0,RUE DE LA FONTAINE ROUGE,77111,Chessy,1,Appartement,58.0,3.0,2.773342,48.855841,5,2019,3448.2758620689656
2707706,2019-1131315,2019-05-28,Vente,186150.0,RUE DES BERGES,77018,Bailly-Romainvilliers,1,Appartement,56.0,3.0,2.816385,48.850055,5,2019,3324.1071428571427
2707848,2019-1131384,2019-05-29,Vente,125000.0,RUE D AMSTERDAM,77307,Montévrain,1,Appartement,30.0,1.0,2.76756,48.853979,5,2019,4166.666666666667
2707860,2019-1131390,2019-01-22,Vente,125400.0,CRS DU DANUBE,77449,Serris,1,Appartement,31.0,2.0,2.78639,48.855954,1,2019,4045.1612903225805
2707863,2019-1131392,2019-06-11,Vente,130000.0,RUE DE BRUXELLES,77307,Montévrain,1,Appartement,25.0,1.0,2.762698,48.855472,6,2019,5200.0
2707899,2019-1131411,2019-05-27,Vente,180000.0,AV DES FRENES,77307,Montévrain,1,Appartement,45.0,2.0,2.759956,48.871348,5,2019,4000.0
2707913,2019-1131419,2019-05-20,Vente,420000.0,RUE DE STOCKHOLM,77307,Montévrain,1,Appartement,91.0,5.0,2.763196,48.858521,5,2019,4615.384615384615
2707919,2019-1131421,2019-05-20,Vente,285421.0,CRS DE L ELBE,77449,Serris,1,Appartement,64.0,3.0,2.784357,48.856868,5,2019,4459.703125
2707948,2019-1131436,2019-06-07,Vente,166000.0,PL D AMILLY,77449,Serris,1,Appartement,40.0,2.0,2.787103,48.843547,6,2019,4150.0
2707987,2019-1131454,2019-06-14,Vente,201000.0,ALL DE DUBLIN,77307,Montévrain,1,Appartement,49.0,2.0,2.764576,48.853552,6,2019,4102.040816326531
2708006,2019-1131464,2019-06-05,Vente,155000.0,RUE DU MOULIN A VENT,77268,Magny-le-Hongre,1,Appartement,35.0,2.0,2.809717,48.867114,6,2019,4428.571428571428
2708073,2019-1131497,2019-05-24,Vente,313000.0,RUE DE L EPINETTE,77268,Magny-le-Hongre,1,Appartement,78.0,4.0,2.81359,48.866809,5,2019,4012.8205128205127
2708090,2019-1131508,2019-05-28,Vente,172000.0,PL DE L EUROPE,77018,Bailly-Romainvilliers,1,Appartement,40.0,2.0,2.820184,48.850697,5,2019,4300.0
2708133,2019-1131528,2019-05-29,Vente,175400.0,AV DES FRENES,77307,Montévrain,1,Appartement,40.0,2.0,2.759956,48.871348,5,2019,4385.0
2708172,2019-1131545,2019-05-27,Vente,180000.0,AV DES FRENES,77307,Montévrain,1,Appartement,40.0,2.0,2.759956,48.871348,5,2019,4500.0
2708262,2019-1131580,2019-06-12,Vente,305000.0,GR GRANDE RUE,77268,Magny-le-Hongre,4,Appartement,83.0,4.0,2.815097,48.865945,6,2019,3674.6987951807228
2708367,2019-1131612,2019-06-19,Vente,244000.0,RUE DE BRUXELLES,77307,Montévrain,1,Appartement,65.0,3.0,2.763642,48.85586,6,2019,3753.846153846154
2708397,2019-1131632,2019-06-04,Vente,269500.0,CRS DU DANUBE,77449,Serris,1,Appartement,67.0,3.0,2.775601,48.855965,6,2019,4022.3880597014927
2708413,2019-1131639,2019-06-14,Vente,245000.0,RUE DES ECURIES,77268,Magny-le-Hongre,1,Appartement,65.0,3.0,2.820026,48.870909,6,2019,3769.230769230769
2708585,2019-1131717,2019-06-21,Vente,165400.0,PASS DU FOUR,77111,Chessy,1,Appartement,38.0,2.0,2.768978,48.878094,6,2019,4352.631578947368
2708610,2019-1131733,2019-06-19,Vente,192000.0,RUE DES FERMES,77268,Magny-le-Hongre,1,Appartement,46.0,2.0,2.812748,48.865878,6,2019,4173.913043478261
2708622,2019-1131742,2019-06-20,Vente,236500.0,AV DE LA SOCIETE DES NATIONS,77307,Montévrain,1,Appartement,61.0,3.0,2.760524,48.857234,6,2019,3877.0491803278687
2708630,2019-1131746,2019-06-21,Vente,258400.0,RUE DE LA HOUE,77268,Magny-le-Hongre,1,Appartement,62.0,3.0,2.815647,48.86949,6,2019,4167.741935483871
2708709,2019-1131788,2019-06-21,Vente,283000.0,RUE DU BOIS DE PARIS,77111,Chessy,2,Appartement,66.0,3.0,2.774476,48.857538,6,2019,4287.878787878788
2708845,2019-1131850,2019-06-19,Vente,226000.0,RUE DES LABOURS,77268,Magny-le-Hongre,1,Appartement,62.0,3.0,2.813857,48.871427,6,2019,3645.1612903225805
2708865,2019-1131862,2019-06-25,Vente,210000.0,ALL DE ZURICH,77307,Montévrain,1,Appartement,40.0,2.0,2.764325,48.856141,6,2019,5250.0
2708870,2019-1131864,2019-06-06,Vente,252000.0,RUE DE LA VERDAULEE,77018,Bailly-Romainvilliers,1,Appartement,64.0,3.0,2.823382,48.852684,6,2019,3937.5
2709078,2019-1131977,2019-06-27,Vente,235000.0,RUE DE BRUXELLES,77307,Montévrain,1,Appartement,61.0,3.0,2.762698,48.855472,6,2019,3852.4590163934427
2709116,2019-1131995,2019-06-25,Vente,265000.0,CRS DE L ELBE,77449,Serris,1,Appartement,54.0,3.0,2.786552,48.857418,6,2019,4907.407407407408
2709120,2019-1131998,2019-06-13,Vente,133036.0,CRS DU DANUBE,77449,Serris,1,Appartement,32.0,2.0,2.78639,48.855954,6,2019,4157.375
2709132,2019-1132005,2019-06-07,Vente,109000.0,BD DE LA MARSANGE,77018,Bailly-Romainvilliers,1,Appartement,30.0,1.0,2.818068,48.844633,6,2019,3633.3333333333335
2709150,2019-1132015,2019-06-07,Vente,210000.0,RUE DE L EPINETTE,77268,Magny-le-Hongre,1,Appartement,64.0,3.0,2.815097,48.865945,6,2019,3281.25
